"model","mae","rmse","p_rmse","deviance","dof","runtime","param","param_non_zeros","iter"
"BACsw",8.2578231292517,12.7267328050508,27.0379174418415,19739.9895790408,51.8749287900536,35.4833922386169,100,51,15
"OBOs",10.0045,15.935249187467,35.9972221150466,30849.447206424,22.4609290236931,0.900226354598999,22,22,1
"OBOw",10.5613333333333,16.5707372598003,36.8190168255482,34719.5945392283,57,2.62518048286438,82,56,1
"OBOsw",9.93916666666667,15.8162416521751,35.2518935661618,30285.6269221602,37.4609290236931,3.16136574745178,100,37,1
"BACs",8.33383333333333,12.8017772203706,28.0946258206085,19975.0709153307,22.7593647113694,3.24995231628418,22,22,3
"BACw",9.0295,13.7294148940635,29.5700524179447,23838.2653102088,47,280.778122186661,82,46,36
"BACsw",8.11733333333333,12.5022931229968,26.9517346380525,19096.8710560816,67.6651352456621,148.051760673523,100,67,7
"OBOs",10.1212418300654,16.0827313714435,36.2787141177746,31878.1055411414,22.3471852409357,0.957426786422729,22,22,1
"OBOw",10.6524509803922,16.6800289572012,37.1004994416993,35741.8642171389,62,2.69753313064575,82,61,1
"OBOsw",10.0472222222222,15.9417085626173,35.4298533697773,31186.2862108911,37.3471852409357,3.2704451084137,100,37,1
"BACs",9.41127450980392,15.215204598703,39.372778493199,26201.9012546818,22.7931207634268,3.02862763404846,22,22,3
"BACw",9.10980392156863,13.8095117357235,29.7333904861844,24556.0400638911,54,18.158810377121,82,53,7
"BACsw",8.36683006535948,12.8173888727907,27.2334857316877,20649.3571109284,57.6528568763604,41.3663358688354,100,57,16
